,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,CrimeId,callDateTime,Priority,CallDescription,CallId
87190,2015-11-26 00:00:00,19:15:00,6D,900 ARION PARK RD,LARCENY FROM AUTO,O,,832.0,SOUTHWESTERN,Oaklee,-76.68678,39.268190000000004,"(39.2681900000, -76.6867800000)",STREET,1,87190,2015-11-27 15:38:00,Low,DESTRUCT PROPTY,
87192,2015-11-26 00:00:00,19:00:00,7A,5300 CARRIAGE CT,AUTO THEFT,O,,823.0,SOUTHWESTERN,Westgate,-76.70704,39.28272,"(39.2827200000, -76.7070400000)",STREET,1,87192,2015-11-27 20:47:00,Medium,DISORDERLY,
87196,2015-11-26 00:00:00,17:45:00,4B,400 E 22ND ST,AGG. ASSAULT,I,KNIFE,341.0,EASTERN,Barclay,-76.61063,39.31445,"(39.3144500000, -76.6106300000)",ROW/TOWNHO,1,87196,2015-11-26 18:41:00,High,AGGRAV ASSAULT,
87202,2015-11-26 00:00:00,17:00:00,6D,2100 ALICEANNA ST,LARCENY FROM AUTO,O,,232.0,SOUTHEASTERN,Canton,-76.58675,39.28383,"(39.2838300000, -76.5867500000)",PARKING LO,1,87202,2015-11-27 07:08:00,Low,LARCENY F/AUTO,
87209,2015-11-26 00:00:00,16:45:00,7C,200 W LOMBARD ST,AUTO THEFT,O,,113.0,CENTRAL,Downtown West,-76.61815,39.2876,"(39.2876000000, -76.6181500000)",STREET,1,87209,2015-11-27 11:51:00,Medium,AUTO THEFT,
87210,2015-11-26 00:00:00,16:30:00,4F,0 S BROADWAY,ASSAULT BY THREAT,I,,212.0,SOUTHEASTERN,Washington Hill,-76.59368,39.2909,"(39.2909000000, -76.5936800000)",CONVENIENC,1,87210,2015-11-26 16:42:00,Medium,COMMON ASSAULT,
87221,2015-11-26 00:00:00,14:52:00,4A,2700 ROUND RD,AGG. ASSAULT,O,FIREARM,922.0,SOUTHERN,Cherry Hill,-76.62841999999999,39.24827,"(39.2482700000, -76.6284200000)",STREET,1,87221,2015-11-26 17:55:00,Low,HIT AND RUN,
87226,2015-11-26 00:00:00,13:30:00,6D,600 LIGHT ST,LARCENY FROM AUTO,I,,941.0,SOUTHERN,Otterbein,-76.61313,39.28203,"(39.2820300000, -76.6131300000)",GARAGE ON,1,87226,2015-11-27 19:26:00,Medium,COMMON ASSAULT,
87238,2015-11-26 00:00:00,12:00:00,7A,2500 W LANVALE ST,AUTO THEFT,O,,721.0,WESTERN,Evergreen Lawn,-76.65703,39.29688,"(39.2968800000, -76.6570300000)",STREET,1,87238,2015-11-26 17:41:00,Low,LARCENY F/AUTO,
87242,2015-11-26 00:00:00,11:30:00,6D,100 ALBEMARLE ST,LARCENY FROM AUTO,O,,211.0,SOUTHEASTERN,Jonestown,-76.60337,39.287890000000004,"(39.2878900000, -76.6033700000)",STREET,1,87242,2015-11-26 21:43:00,Low,LARCENY F/AUTO,
87245,2015-11-26 00:00:00,11:00:00,6D,4400 OLD FREDERICK RD,LARCENY FROM AUTO,O,,822.0,SOUTHWESTERN,Uplands,-76.69201,39.29017,"(39.2901700000, -76.6920100000)",STREET,1,87245,2015-11-26 17:48:00,Low,LARCENY F/AUTO,
87264,2015-11-26 00:00:00,02:15:00,3AJF,1000 W 36TH ST,ROBBERY - CARJACKING,O,FIREARM,531.0,NORTHERN,Hampden,-76.63275,39.33112,"(39.3311200000, -76.6327500000)",STREET,1,87264,2015-11-27 10:47:00,High,SILENT ALARM,
87266,2015-11-26 00:00:00,01:31:00,4E,1500 ABBOTSTON ST,COMMON ASSAULT,I,HANDS,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.59549,39.32356,"(39.3235600000, -76.5954900000)",ROW/TOWNHO,1,87266,2015-11-26 01:28:00,Medium,COMMON ASSAULT,
87039,2015-11-27 00:00:00,22:15:00,6G,2900 WINCHESTER ST,LARCENY,I,,814.0,SOUTHWESTERN,Winchester,-76.66656,39.30133,"(39.3013300000, -76.6665600000)",ROW/TOWNHO,1,87039,2015-11-27 22:07:00,Low,LARCENCY,
87040,2015-11-27 00:00:00,22:08:00,6D,1400 PATAPSCO ST,LARCENY FROM AUTO,O,,942.0,SOUTHERN,South Baltimore,-76.6133,39.27332,"(39.2733200000, -76.6133000000)",STREET,1,87040,2015-11-27 22:06:00,Low,LARCENY F/AUTO,
87042,2015-11-27 00:00:00,22:00:00,4E,1400 W 36TH ST,COMMON ASSAULT,I,HANDS,531.0,NORTHERN,Hampden,-76.63891,39.33014,"(39.3301400000, -76.6389100000)",ROW/TOWNHO,1,87042,2015-11-27 21:49:00,High,AGGRAV ASSAULT,
87047,2015-11-27 00:00:00,21:30:00,6F,2500 N HOWARD ST,LARCENY,O,,512.0,NORTHERN,Charles Village,-76.61974000000001,39.318670000000004,"(39.3186700000, -76.6197400000)",OTHER - OU,1,87047,2015-11-27 22:47:00,Low,BIKE LARCENY,
87058,2015-11-27 00:00:00,20:15:00,5A,300 N GAY ST,BURGLARY,I,,211.0,EASTERN,Jonestown,-76.60784,39.29337,"(39.2933700000, -76.6078400000)",ROW/TOWNHO,1,87058,2015-11-27 02:55:00,High,Traffic Stop,
