Unnamed: 0,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,callDateTime,Priority,CallDescription,Season,Month,Hour
129381,2015-01-18,22:30:00,5D,2000 JEFFERSON ST,BURGLARY,Inside,NONE,321.0,EASTERN,CARE,-76.58807,39.29647,"(39.2964700000, -76.5880700000)",CONVENIENC,1,2015-01-19 10:25:00,Medium,Burglary,winter,1,22
129384,2015-01-18,22:00:00,6E,4700 SAYER AV,LARCENY,Outside,NONE,822.0,SOUTHWESTERN,Tremont,-76.69438000000002,39.28419,"(39.2841900000, -76.6943800000)",PARKING LO,1,2015-01-19 05:13:00,Low,Larceny f/Auto,winter,1,22
129386,2015-01-18,21:50:00,5A,3900 EDMONDSON AV,BURGLARY,Inside,NONE,844.0,SOUTHWESTERN,Edmondson Village,-76.68133,39.2939,"(39.2939000000, -76.6813300000)",APT/CONDO,1,2015-01-19 22:46:00,Medium,Burglary,winter,1,21
129387,2015-01-18,21:34:00,4E,1900 WADSWORTH WY,COMMON ASSAULT,Inside,HANDS,415.0,NORTHEASTERN,Loch Raven,-76.57887,39.35967,"(39.3596700000, -76.5788700000)",ROW/TOWNHO,1,2015-01-18 21:25:00,Medium,Common Assault,winter,1,21
129388,2015-01-18,21:34:00,4E,1900 WADSWORTH WY,COMMON ASSAULT,Inside,HANDS,415.0,NORTHEASTERN,Loch Raven,-76.57887,39.35967,"(39.3596700000, -76.5788700000)",ROW/TOWNHO,1,2015-01-18 21:25:00,Medium,Common Assault,winter,1,21
129392,2015-01-18,21:00:00,6D,3600 EASTWOOD DR,LARCENY FROM AUTO,Outside,NONE,422.0,NORTHEASTERN,Belair-Parkside,-76.57046,39.33191,"(39.3319100000, -76.5704600000)",STREET,1,2015-01-19 08:05:00,Low,Larceny f/Auto,winter,1,21
129397,2015-01-18,20:22:00,6B,3400 PARK HEIGHTS AV,LARCENY,Outside,NONE,612.0,NORTHWESTERN,Park Circle,-76.65775,39.32596,"(39.3259600000, -76.6577500000)",STREET,1,2015-01-18 20:18:00,Low,Larceny,winter,1,20
129399,2015-01-18,20:00:00,6D,400 TANTALLION CT,LARCENY FROM AUTO,Outside,NONE,521.0,NORTHERN,York-Homeland,-76.61175,39.35251,"(39.3525100000, -76.6117500000)",STREET,1,2015-01-19 19:06:00,Low,Larceny f/Auto,winter,1,20
129407,2015-01-18,19:00:00,5A,4900 CEDARGARDEN RD,BURGLARY,Inside,NONE,833.0,SOUTHWESTERN,Beechfield,-76.69623,39.27901,"(39.2790100000, -76.6962300000)",ROW/TOWNHO,1,2015-01-19 15:37:00,Medium,Burglary,winter,1,19
129411,2015-01-18,17:45:00,6D,4000 OVERLEA AV,LARCENY FROM AUTO,Outside,NONE,424.0,NORTHEASTERN,Overlea,-76.53084,39.35787,"(39.3578700000, -76.5308400000)",STREET,1,2015-01-18 18:35:00,Low,Larceny f/Auto,winter,1,17
129412,2015-01-18,17:40:00,4C,3600 E BALTIMORE ST,AGG. ASSAULT,Outside,OTHER,223.0,SOUTHEASTERN,Baltimore Highlands,-76.56727,39.29259,"(39.2925900000, -76.5672700000)",STREET,1,2015-01-18 17:52:00,High,Aggrav Assault,winter,1,17
129413,2015-01-18,17:38:00,7A,3100 HARVIEW AV,AUTO THEFT,Outside,NONE,424.0,NORTHEASTERN,North Harford Road,-76.5448,39.36826,"(39.3682600000, -76.5448000000)",STREET,1,2015-01-18 17:35:00,Non-Emergency,*7C,winter,1,17
129415,2015-01-18,17:15:00,6C,2100 W PATAPSCO AV,LARCENY,Inside,NONE,923.0,SOUTHERN,Lakeland,-76.64487,39.25107,"(39.2510700000, -76.6448700000)",SHOPPING M,1,2015-01-18 01:16:00,Low,*POLICE ASSIST,winter,1,17
129418,2015-01-18,17:00:00,4C,2000 ETTING ST,AGG. ASSAULT,Inside,OTHER,131.0,CENTRAL,Druid Heights,-76.63644000000002,39.30757,"(39.3075700000, -76.6364400000)",ROW/TOWNHO,1,2015-01-18 20:31:00,Medium,Common Assault,winter,1,17
129420,2015-01-18,17:00:00,6G,800 PRIMSON AV,LARCENY,Inside,NONE,832.0,SOUTHWESTERN,Saint Agnes,-76.67439,39.2735,"(39.2735000000, -76.6743900000)",ROW/TOWNHO,1,2015-01-18 17:17:00,Low,Larceny,winter,1,17
129424,2015-01-18,15:30:00,4D,2000 WINFORD RD,AGG. ASSAULT,Inside,HANDS,415.0,NORTHEASTERN,Perring Loch,-76.5816,39.35207,"(39.3520700000, -76.5816000000)",ROW/TOWNHO,1,2015-01-18 12:24:00,Medium,Family Disturb,winter,1,15
129426,2015-01-18,15:30:00,4C,2000 WINFORD RD,AGG. ASSAULT,Outside,OTHER,415.0,NORTHEASTERN,Perring Loch,-76.5816,39.35207,"(39.3520700000, -76.5816000000)",YARD,1,2015-01-18 12:24:00,Medium,Family Disturb,winter,1,15
129432,2015-01-18,15:00:00,5A,3200 CARLISLE AV,BURGLARY,Inside,NONE,641.0,NORTHWESTERN,Hanlon-Longwood,-76.67146,39.31883,"(39.3188300000, -76.6714600000)",ROW/TOWNHO,1,2015-01-18 21:37:00,Medium,Burglary,winter,1,15
129435,2015-01-18,14:00:00,7A,5500 YORK RD,AUTO THEFT,Inside,NONE,523.0,NORTHERN,Homeland,-76.60994000000002,39.35692,"(39.3569200000, -76.6099400000)",RELIGIOUS,1,2015-01-19 18:57:00,Medium,Juv Disturbance,winter,1,14
129437,2015-01-18,14:00:00,7A,1200 MADISON AV,AUTO THEFT,Outside,NONE,123.0,CENTRAL,Upton,-76.6266,39.30275,"(39.3027500000, -76.6266000000)",STREET,1,2015-01-18 22:09:00,Medium,Auto Theft,winter,1,14
129438,2015-01-18,13:40:00,6E,2700 W COLD SPRING LA,LARCENY,Outside,NONE,614.0,NORTHWESTERN,Central Park Heights,-76.66669,39.33954,"(39.3395400000, -76.6666900000)",STREET,1,2015-01-18 13:41:00,Low,Larceny,winter,1,13
129440,2015-01-18,13:20:00,7A,6400 HARFORD RD,AUTO THEFT,Inside,NONE,424.0,NORTHEASTERN,Westfield,-76.55373,39.36121,"(39.3612100000, -76.5537300000)",ROW/TOWNHO,1,2015-01-18 13:41:00,Medium,Auto Theft,winter,1,13
129441,2015-01-18,13:00:00,6E,1000 JACK PL,LARCENY,Outside,NONE,913.0,SOUTHERN,Brooklyn,-76.59758000000002,39.23048,"(39.2304800000, -76.5975800000)",STREET,1,2015-01-19 16:23:00,Low,Larceny f/Auto,winter,1,13
129442,2015-01-18,13:00:00,6D,900 BRUNSWICK ST,LARCENY FROM AUTO,Outside,NONE,841.0,SOUTHWESTERN,Millhill,-76.65867,39.27795,"(39.2779500000, -76.6586700000)",STREET,1,2015-01-19 10:46:00,Low,Larceny f/Auto,winter,1,13
129452,2015-01-18,12:00:00,5D,1700 HARTSDALE RD,BURGLARY,Outside,NONE,415.0,NORTHEASTERN,Perring Loch,-76.58388000000002,39.35029,"(39.3502900000, -76.5838800000)",SHED/GARAGE,1,2015-01-18 15:36:00,Medium,Burglary,winter,1,12
129454,2015-01-18,11:50:00,4E,3800 LYNDALE AV,COMMON ASSAULT,Inside,HANDS,432.0,NORTHEASTERN,Belair-Edison,-76.56461,39.3171,"(39.3171000000, -76.5646100000)",ROW/TOWNHO,1,2015-01-18 11:57:00,Medium,Family Disturb,winter,1,11
129456,2015-01-18,11:04:00,6C,1700 DUNDALK AV,LARCENY,Inside,NONE,243.0,SOUTHEASTERN,Graceland Park,-76.53133000000003,39.27358,"(39.2735800000, -76.5313300000)",OTHER - IN,1,2015-01-18 11:03:00,Medium,Larceny,winter,1,11
129457,2015-01-18,10:59:00,6D,1400 ALICEANNA ST,LARCENY FROM AUTO,Outside,NONE,213.0,SOUTHEASTERN,Fells Point,-76.59804,39.28335,"(39.2833500000, -76.5980400000)",STREET,1,2015-01-18 12:15:00,Low,Destruct Propty,winter,1,10
129477,2015-01-18,03:00:00,4E,3300 HILLEN RD,COMMON ASSAULT,Outside,HANDS,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,-76.58934,39.32861,"(39.3286100000, -76.5893400000)",STREET,1,2015-01-18 02:41:00,Medium,Common Assault,winter,1,3
129478,2015-01-18,03:00:00,5A,600 CHERRYCREST RD,BURGLARY,Inside,NONE,922.0,SOUTHERN,Cherry Hill,-76.62135,39.24863,"(39.2486300000, -76.6213500000)",ROW/TOWNHO,1,2015-01-18 16:17:00,Medium,Common Assault,winter,1,3
129482,2015-01-18,02:00:00,4B,1300 S PONCA ST,AGG. ASSAULT,Outside,KNIFE,233.0,SOUTHEASTERN,Canton Industrial Area,-76.55441,39.27886,"(39.2788600000, -76.5544100000)",PARKING LO,1,2015-01-18 02:02:00,Medium,Common Assault,winter,1,2
