Description,Post,District,Neighborhood,Longitude,Latitude,Premise,CallDescription,Year,median_household_income,households_below_poverty,perc18_24,perc25_64,perc65up,perc_asian,perc_aa,perc_hisp,perc_white,median_price_homes_sold,racial_diversity_index,num_households,Month,crime_hour,Outside,Weapon_FIREARM,Weapon_HANDS,Weapon_KNIFE,Weapon_NONE,Weapon_OTHER,call_hour,Season_autumn,Season_spring,Season_summer,Season_winter,Holiday,Weekend,Priority_HIGH,Priority_LOW,Priority_MEDIUM,Priority_NON-EMERGENCY,Priority_OUT OF SERVICE,Priority_UNKNOWN
5,331.0,1,23,-76.59483,39.31003,57,52,2015,23625.756916996,25.820991629105,9.5046157846834,53.0750227538682,12.9371993238851,0.0,94.6690937459368,1.91132492523729,2.89949291379535,39500.0,10.1383126509427,32450.0,7,18,0,0,1,0,0,0,23,0,0,1,0,0,0,0,0,1,0,0,0
8,723.0,8,22,-76.65353,39.299240000000005,67,76,2015,31759.0589198036,21.3292117465224,11.0357622672894,52.6069989124176,13.1213613972235,0.204721386987397,97.4409826626575,1.45224233894185,0.358262427227944,17500.0,5.48908692351591,25358.0,2,18,1,0,0,0,1,0,20,0,0,0,1,0,0,0,1,0,0,0,0
7,531.0,3,102,-76.6281,39.33195,2,75,2015,58644.1736641221,7.13874496257916,7.45167562621526,64.3657783369553,13.7081093446186,7.0113233443898,10.734301727096,4.51790003431316,74.8255747455107,184950.0,42.6357060591214,178000.0,3,4,0,0,0,0,1,0,21,0,1,0,0,0,1,0,1,0,0,0,0
3,311.0,1,121,-76.60729,39.30382,67,27,2015,23625.756916996,25.820991629105,9.5046157846834,53.0750227538682,12.9371993238851,0.0,94.6690937459368,1.91132492523729,2.89949291379535,39500.0,10.1383126509427,32450.0,3,6,1,0,0,0,1,0,7,0,0,0,1,0,0,0,0,1,0,0,0
7,413.0,2,166,-76.59658,39.35106,67,76,2015,53974.2569124424,7.97453001819284,26.2021358192224,42.728184553661,14.3902295120656,0.973508761578854,85.7100713906425,2.67862410761697,7.36326626939642,120000.0,28.3942604161178,115000.0,1,22,1,0,0,0,1,0,12,0,0,0,1,0,0,0,1,0,0,0,0
7,233.0,5,21,-76.56607,39.28499,67,76,2015,68702.25,9.55993930197269,9.11205363250787,65.5903680394035,10.0013681762211,1.45026679436311,8.94787248597619,17.1158845259269,70.1874401422903,265000.0,52.8708938266695,259688.0,7,23,1,0,0,0,1,0,14,0,0,1,0,0,0,0,1,0,0,0,0
7,343.0,1,176,-76.60081,39.30939,67,79,2015,23625.756916996,25.820991629105,9.5046157846834,53.0750227538682,12.9371993238851,0.0,94.6690937459368,1.91132492523729,2.89949291379535,39500.0,10.1383126509427,32450.0,9,18,1,0,0,0,1,0,5,0,0,1,0,0,1,0,0,0,1,0,0
11,212.0,5,26,-76.58743,39.29247,57,15,2015,82263.222972973,6.16438356164384,5.74784980071324,77.5435284245857,5.97860289490245,4.61506188378435,5.38074260541221,13.9081183134047,73.673169708412,255000.0,50.3365140665666,249000.0,7,17,0,0,0,0,0,1,18,0,0,1,0,0,0,1,0,0,0,0,0
4,323.0,1,143,-76.57889,39.30153,57,31,2015,26136.1363636364,32.8238719068413,14.5613548028873,49.3892282065519,6.51027207107163,0.111049416990561,88.0899500277624,7.00999444752915,2.7623542476402,19000.0,29.4676043078257,26250.0,2,17,0,0,0,0,1,0,17,0,0,0,1,0,0,0,0,1,0,0,0
12,532.0,3,132,-76.66903,39.35055,67,109,2015,33139.182464455,17.4418604651163,10.0034228991956,54.2700667465343,17.0973814821154,0.282389183638542,95.9952079411261,0.898511038849906,1.77990758172172,19800.0,8.82797391336189,40000.0,6,22,1,1,0,0,0,0,22,0,1,0,0,0,0,1,0,0,0,0,0
4,713.0,8,104,-76.64023,39.29896,59,40,2015,24108.1525641026,35.8477743798845,10.729475447867,51.84946513726,11.4061090346694,0.393091893285217,96.4299523134425,0.380203634488981,0.824848562959144,12550.0,7.18959568030168,26000.0,11,1,0,0,0,0,1,0,18,1,0,0,0,0,0,0,0,1,0,0,0
3,833.0,7,268,-76.68545999999999,39.2767,67,76,2015,36701.906741573,24.1471215351812,10.3171641791045,51.0012437810945,13.5385572139304,0.422885572139304,86.865671641791,1.56094527363184,8.95522388059701,35500.0,24.7291528613101,42500.0,8,21,1,0,0,0,1,0,14,0,0,1,0,0,0,0,1,0,0,0,0
